imagem_nome,tipo_imagem
"5.HUR_SEN Imagem Piscina Atico","Imagem Interna"
"40.PHA_NET Embasamento extra",Fachada
"41.PHA_NET Fotomontagem noturna",Fachada
"1.EDI_ONE Variacao da fotomontagem aerea mostrando academia e restaurante (atualizacao da imagem abrindo as janelas da academia e restaurante)",Fachada
"2.EDI_ONE Embasamento visto da praia mostrando academia e restaurante",Fachada
"3.EDI_ONE Restaurante interna","Imagem Interna"
"1.PRA_DUB Fotomontagem mostrando a Fachada no terreno diurna",Fachada
"2.PRA_DUB Fotomontagem mostrando a Fachada no terreno noturna",Fachada
"3.PRA_DUB Fachada do acesso do Shopping",Fachada
"4.PRA_DUB Shopping cena 1 - Corredor","Imagem Interna"
"5.PRA_DUB Shopping cena 2 - Praca de alimentacao","Imagem Interna"
"6.PRA_DUB Piscinas","Imagem Externa"
"7.PRA_DUB Cena de apartamento - Tipo 1",Unidade
"8.PRA_DUB Cena de apartamento - Tipo 2",Unidade
"9.PRA_DUB Cena de apartamento - Tipo 3",Unidade
"42.PHA_NET Embasamento extra 2",Fachada
"1.HSA_236 Fachada Diurna",Fachada
"2.HSA_236 Fachada Noturna",Fachada
"4.HSA_236 Garden","Imagem Externa"
"10.HSA_236 Living Apto Tipo 01",Unidade
"4.EDI_ONE Fotomontagem_01",Fachada
6.HSA_236_Piscina,"Imagem Externa"
"1.ZIM_AMO Fotomontagem aerea - Insercao do empreendimento em terreno real angulo 1",Fachada
"2.ZIM_AMO Fotomontagem aerea - Insercao do empreendimento em terreno real angulo 2",Fachada
"3.ZIM_AMO Fachada diurna no angulo do observador 1",Fachada
"4.ZIM_AMO Fachada diurna no angulo do observador 2",Fachada
"5.ZIM_AMO Fachada diurna no angulo do observador 3",Fachada
"6.ZIM_AMO Embasamento com foco no acesso",Fachada
"7.ZIM_AMO Hall de entrada torre A","Imagem Interna"
"8.ZIM_AMO Hall de entrada torre B","Imagem Interna"
"9.ZIM_AMO Area de contemplacao torre A","Imagem Externa"
"10.ZIM_AMO Espaco Cross","Imagem Interna"
"11.ZIM_AMO Academia","Imagem Interna"
"12.ZIM_AMO Solarium","Imagem Interna"
"13.ZIM_AMO Piscina aquecida","Imagem Interna"
"14.ZIM_AMO Piscinas entre torres angulo 1","Imagem Externa"
"15.ZIM_AMO Piscinas entre torres angulo 2","Imagem Externa"
"16.ZIM_AMO Piscinas entre torres angulo 3","Imagem Externa"
"17.ZIM_AMO Salao de festas 1","Imagem Externa"
"18.ZIM_AMO Salao de festas 2","Imagem Externa"
"19.ZIM_AMO Sala de jogos","Imagem Interna"
"20.ZIM_AMO Espaco Gourmet","Imagem Interna"
"21.ZIM_AMO Area de contemplacao torre B","Imagem Externa"
"22.ZIM_AMO Playground","Imagem Externa"
"23.ZIM_AMO Relax Place","Imagem Externa"
"24.ZIM_AMO Fire Place","Imagem Externa"
"25.ZIM_AMO Living do apartamento tipo torre A com vista fotografica real",Unidade
"26.ZIM_AMO Living do apartamento tipo torre A com vista fotografica real angulo 2 - Foco na vista real",Unidade
"27.ZIM_AMO Suite master do apartamento tipo torre A",Unidade
"28.ZIM_AMO Living do apartamento tipo torre B com vista fotografica real - Final 1 ou 3",Unidade
"29.ZIM_AMO Sacada do apartamento tipo torre B com vista fotografica real angulo 2 - Foco na vista real - Final 1 ou 3",Unidade
"30.ZIM_AMO Suite master do apartamento tipo torre B - Final 1 ou 3",Unidade
"31.ZIM_AMO Living do apartamento tipo torre B com vista fotografica real - Final 2",Unidade
"32.ZIM_AMO Living do apartamento tipo torre B com vista fotografica real angulo 2 - Foco na vista real - Final 2",Unidade
"33.ZIM_AMO Suite master do apartamento tipo torre B - Final 2",Unidade
"1.KRE_SEN Fotomontagem aerea com insercao do empreendimento no terreno visto de forma lateral sentido costao",Fachada
"2.KRE_SEN Fotomontagem aerea com insercao do empreendimento no terreno visto do mar",Fachada
"3.KRE_SEN Fachada no angulo do observador visto da praia",Fachada
"4.KRE_SEN Embasamento com foco na area comercial - Av.Aderbal com Rua Anturios",Fachada
"5.KRE_SEN Embasamento com foco no acesso residencial na Rua dos Anturios",Fachada
"6.KRE_SEN Estacionamento no subsolo","Imagem Interna"
"7.KRE_SEN Hall de entrada da Torre C","Imagem Interna"
"8.KRE_SEN Academia","Imagem Interna"
"9.KRE_SEN Playground","Imagem Externa"
"10.KRE_SEN Salao de festas","Imagem Interna"
"11.KRE_SEN Churrasqueiras de apoio as piscinas","Imagem Externa"
"12.KRE_SEN Spa com fireplace e yoga","Imagem Interna"
"13.KRE_SEN Piscina adulto com borda infitnita com vista real fotografica angulo 1 - Ambiente geral","Imagem Externa"
"14.KRE_SEN Piscina adulto com borda infitnita com vista real fotografica angulo 2 - Foco na vista real","Imagem Externa"
"15.KRE_SEN Piscina infantil","Imagem Externa"
"16.KRE_SEN Living com vista real do apartamento tipo (Torre A)",Unidade
"17.KRE_SEN Suite com vista real do apartamento tipo (Torre A)",Unidade
"18.KRE_SEN Sacada com vista real do apartamento tipo (Torre A)",Unidade
"19.KRE_SEN Living com vista real do apartamento cobertura (Torre A)",Unidade
"20.KRE_SEN Living com vista real do apartamento tipo (Torre B)",Unidade
"21.KRE_SEN Living com vista real do apartamento cobertura (Torre B)",Unidade
"22.KRE_SEN Living com vista real do apartamento tipo (Torre C)",Unidade
"23.KRE_SEN Suite 1 com vista real do apartamento tipo (Torre C)",Unidade
"24.KRE_SEN Living com vista real do apartamento cobertura (Torre C)",Unidade
"25.KRE_SEN Living com vista real do apartamento tipo (Torre D)",Unidade
"26.KRE_SEN Suite 1 com vista real do apartamento tipo (Torre D)",Unidade
"27.KRE_SEN Sacada com vista real do apartamento tipo (Torre D)",Unidade
"28.KRE_SEN Living com vista real do apartamento cobertura (Torre D)",Unidade
"29.KRE_SEN Planta humanizada implantacao geral mostrando o mar, o pavimento terreo lazer com area comercial","Planta Humanizada"
"30.KRE_SEN Planta humanizada do pavimento subsolo estacionamento","Planta Humanizada"
"31.KRE_SEN Planta humanizada do pavimento tipo - Torre A","Planta Humanizada"
"32.KRE_SEN Planta humanizada do pavimento cobertura - Torre A","Planta Humanizada"
"33.KRE_SEN Planta humanizada do pavimento tipo - Torre B","Planta Humanizada"
"34.KRE_SEN Planta humanizada do pavimento cobertura - Torre B","Planta Humanizada"
"35.KRE_SEN Planta humanizada do pavimento tipo - Torre C","Planta Humanizada"
"36.KRE_SEN Planta humanizada do pavimento cobertura - Torre C","Planta Humanizada"
"37.KRE_SEN Planta humanizada do pavimento tipo - Torre D","Planta Humanizada"
"38.KRE_SEN Planta humanizada do pavimento cobertura - Torre D","Planta Humanizada"
"1.MEN_KSA Fachada diurna",Fachada
"2.MEN_KSA Fachada noturna",Fachada
"3.MEN_KSA Imagem interna 1","Imagem Interna"
"4.MEN_KSA Imagem interna 2","Imagem Interna"
"5.MEN_KSA Imagem interna 3","Imagem Interna"
"6.MEN_KSA Imagem interna 4","Imagem Interna"
"7.MEN_KSA Planta implantacao","Planta Humanizada"
"8.MEN_KSA Planta tipo 1 garden","Planta Humanizada"
"9.MEN_KSA Planta tipo 2 garden","Planta Humanizada"
"10.MEN_KSA Planta tipo 3 duplex meio","Planta Humanizada"
"11.MEN_KSA Planta tipo 4 duplex meio","Planta Humanizada"
"1.INO_ITA Fotomontagem com empreendimento no terreno real",Fachada
"2.INO_ITA Fotomontagem mostrando localizacao com mar",Fachada
"3.INO_ITA Fachada frontal",Fachada
"4.INO_ITA Piscina","Imagem Externa"
"5.INO_ITA Playground","Imagem Externa"
"6.INO_ITA Salao de festa com espaco externo","Imagem Externa"
"7.INO_ITA Salao Gourmet com terraco","Imagem Externa"
"8.INO_ITA Jogos/brinquedoteca com terraco","Imagem Externa"
"9.INO_ITA Terraco de lazer","Imagem Externa"
"10.INO_ITA Academia","Imagem Interna"
"11.INO_ITA Sacada com vista",Unidade
"12.INO_ITA Dormitorio casal","Imagem Interna"
"13.INO_ITA Dormitorio solteiro","Imagem Interna"
"14.INO_ITA Sala/cozinha conjugadas","Imagem Interna"
"15.INO_ITA Terreo","Planta Humanizada"
"16.INO_ITA 1º pavimento (garagem)","Planta Humanizada"
"17.INO_ITA 2º pavimento (apartamentos + lazer) (x6)","Planta Humanizada"
"18.INO_ITA Tipo (x8)","Planta Humanizada"
"1.INO_BRA Fotomontagem com empreendimento no terreno real",Fachada
"2.INO_BRA Fachada diagonal (terreno e de esquina)",Fachada
"3.INO_BRA Piscina","Imagem Externa"
"4.INO_BRA Playground","Imagem Externa"
"5.INO_BRA Espaco pet","Imagem Externa"
"6.INO_BRA Salao de festa","Imagem Externa"
"7.INO_BRA Salao Gourmet","Imagem Externa"
"8.INO_BRA Coworking","Imagem Externa"
"9.INO_BRA Terraco de lazer (na cobertura)","Imagem Externa"
"10.INO_BRA Sacada com vista",Unidade
"11.INO_BRA Dormitorio casal","Imagem Interna"
"12.INO_BRA Dormitorio solteiro","Imagem Interna"
"13.INO_BRA Sala/cozinha conjugadas","Imagem Interna"
"14.INO_BRA Terreo","Planta Humanizada"
"15.INO_BRA 1º pavimento","Planta Humanizada"
"16.INO_BRA Pavimento giardinos (x6)","Planta Humanizada"
"17.INO_BRA Tipo (x6)","Planta Humanizada"
"18.INO_BRA Cobertura com terraco de lazer (x4)","Planta Humanizada"
"1.HSA_236 Fotomontagem aerea com insercao da torre em terreno real",Fachada
"2.HSA_236 Fachada diurna no angulo do observador (portfolio)",Fachada
"3.HSA_236 Fachada noturna",Fachada
"4.HSA_236 Espaco garden mostrando Playground","Imagem Externa"
"5.HSA_236 Piscina","Imagem Externa"
"6.HSA_236 Quiosque da piscina","Imagem Externa"
"7.HSA_236 Academia","Imagem Interna"
"8.HSA_236 Sala de jogos","Imagem Interna"
"9.HSA_236 Salao de festas","Imagem Interna"
"10.HSA_236 Living do apartamento tipo 1",Unidade
"11.HSA_236 Living do apartamento Penthouse",Unidade
"12.HSA_236 Sacada com vista fotografica do apartamento Penthouse",Unidade
"13.HSA_236 Planta do pavimento lazer","Planta Humanizada"
"14.HSA_236 Planta humanizada do pavimento tipo","Planta Humanizada"
"15.HSA_236 Planta humanizada do pavimento Penthouse","Planta Humanizada"
"1.SIL_ELI Fachada no angulo do observador",Fachada
"2.SIL_ELI Fotomontagem aerea por do sol",Fachada
"3.SIL_ELI Fotomontagem aerea voo do passaro mostrando topo da torre",Fachada
"4.SIL_ELI Playground","Imagem Externa"
"5.SIL_ELI Brinquedoteca","Imagem Externa"
"6.SIL_ELI Piscinas","Imagem Externa"
"7.SIL_ELI Quiosque esportes mostrando quadra","Imagem Externa"
"8.SIL_ELI Hall de entrada","Imagem Interna"
"8.SIL_ELI Planta humanizada do pavimento Lazer","Planta Humanizada"
"9.SIL_ELI Planta humanizada do pavimento G1","Planta Humanizada"
9.SIL_ELI_Academia,"Imagem Interna"
10.SIL_ELI_Gourmet,"Imagem Interna"
11.SIL_ELI_Festas,"Imagem Interna"
"5.EDI_ONE Garagem","Imagem Interna"
"5.HSA_236_Suite Master Penthouse",Unidade
"1.AMA_PEN Fotomontagem aerea com insercao do empreendimento em terreno real angulo 1",Fachada
"2.AMA_PEN Fotomontagem aerea com insercao do empreendimento em terreno real angulo 2",Fachada
"3.AMA_PEN Fachadas angulo 1",Fachada
"4.AMA_PEN Fachadas angulo 2",Fachada
"5.AMA_PEN Fachadas angulo 3",Fachada
"6.AMA_PEN Avenida de acesso mostrando o embasamento",Fachada
"7.AMA_PEN Porte-cochère",Fachada
"8.AMA_PEN Quadras 1","Imagem Interna"
"9.AMA_PEN Quadras 2","Imagem Interna"
"10.AMA_PEN Piscinas angulo 1","Imagem Externa"
"11.AMA_PEN Piscinas angulo 2","Imagem Externa"
"12.AMA_PEN Piscinas angulo 3","Imagem Externa"
"13.AMA_PEN Jacuzi SPA 1","Imagem Interna"
"14.AMA_PEN Jacuzi SPA 2","Imagem Interna"
"15.AMA_PEN Lounge Cafe 1","Imagem Interna"
"16.AMA_PEN Lounge Cafe 2","Imagem Interna"
"17.AMA_PEN Area das mesas entre torres","Imagem Interna"
"18.AMA_PEN Playground angulo 1","Imagem Externa"
"19.AMA_PEN Playground angulo 2","Imagem Externa"
"20.AMA_PEN Lounge externo","Imagem Externa"
"21.AMA_PEN Espelho D Agua","Imagem Externa"
"1.OTT_INF Fotomontagem aerea - Insercao do empreendimento em terreno real visto do mar angulo 1",Fachada
"2.OTT_INF Fotomontagem aerea - Insercao do empreendimento em terreno real visto do mar angulo 2",Fachada
"3.OTT_INF Fachada diurna no angulo do observador",Fachada
"4.OTT_INF Embasamento com foco no acesso",Fachada
"5.OTT_INF Piscina com vista fotografica real","Imagem Externa"
"6.OTT_INF Solarium com piscina","Imagem Externa"
"7.OTT_INF Salao de festas mostrando terraco com vista fotografica real",Unidade
"8.OTT_INF Academia","Imagem Interna"
"9.OTT_INF Living do apartamento tipo final 1 com vista fotografica real",Unidade
"10.OTT_INF Sacada do apartamento tipo final 1 com vista fotografica real",Unidade
"11.OTT_INF Living do apartamento tipo final 2 com vista fotografica real",Unidade
"12.OTT_INF Sacada do apartamento tipo final 2 com vista fotografica real",Unidade
"13.OTT_INF Planta humanizada implantacao geral mostrando o pavimento terreo","Planta Humanizada"
"14.OTT_INF Planta humanizada do apartamento tipo 1","Planta Humanizada"
"15.OTT_INF Planta humanizada do apartamento tipo 2","Planta Humanizada"
"12.MEN_KAZ_Terraco_Apto Meio","Imagem Externa"
"39.KRE_SEN_Sacada tipo (torre C)_Extra",Unidade
"1.AMA_PEN Cafe","Imagem Interna"
"2.AMA_PEN Lounge","Imagem Interna"
"3.AMA_PEN Cascata","Imagem Interna"
"4.AMA_PEN Piscinas ponto 1","Imagem Interna"
"4.AMA_PEN Piscinas ponto 2","Imagem Interna"
"6.AMA_PEN Jacuzi","Imagem Externa"
"7.AMA_PEN Playground","Imagem Externa"
"8.AMA_PEN Quadra","Imagem Externa"
"9.AMA_PEN Restaurante","Imagem Interna"
"4.EDI_ONE Academia","Imagem Interna"
"5.EDI_ONE Piscina","Imagem Externa"
"6.EDI_ONE Sacada PUB",Unidade
"7.EDI_ONE Living do apartamento tipo - ponto 360 1",Unidade
"8.EDI_ONE Living do apartamento tipo - ponto 360 2",Unidade
"9.EDI_ONE Suite master",Unidade
"10.EDI_ONE Living top of view",Unidade
"11.EDI_ONE Suite triplex",Unidade
"43.ZIM_AMO Living do apartamento tipo torre A_Angulo Extra",Unidade
"HSA_MON - Fachadas",Fachada
"Alteracao Fachada",Fachada
"19.INO_ITA Espaco Pet","Imagem Interna"
"25.INO_TAB PH Tipo","Planta Humanizada"
"44.ZIM_AMO Area Externa","Imagem Externa"
"33.DOM_MOR Planta Pavto Tipo Torre A","Planta Humanizada"
"46.ZIM_AMO_Sacada Torre B_Apto02",Unidade
"1.RZI_LIN_FACHADA DIURNA_EF",Fachada
1.ERS_SAN_Fachada_b,Fachada
2.ERS_SAN_Fachada,Fachada
40.KRE_SEN_Fotomontagem_noite,Fachada
1.ARS_ACC_Garagem_EF,"Imagem Interna"
2.ARS_ACC_Embasamento_EF,Fachada
"19.INO_BRA_Fachada_noturna_001 (extra)",Fachada
"12.SIL_ELI Fotomontagem nascer do sol",Fachada
3.ARS_ACC_Fachada_topo,Fachada
"HSA_MON Salao de festas ","Imagem Interna"
"HSA_MON Piscina aquecida Adulto (antigo)","Imagem Externa"
"HSA_MON Sala de jogos (antigo)","Imagem Interna"
19.INO_BRA_Living,Unidade
20.INO_BRA_Sacada_Com_Vista,Unidade
"4.ARS_ACC Observador",Fachada
1.HSA_MON_Fachada_Observador,Fachada
13.SIL_ELI_Fotomontagem_Piscina_Embasamento,Fachada
"5.LIN_MIL Hall de entrada","Imagem Interna"
"6.LIN_MIL Market","Imagem Interna"
"7.LIN_MIL Salao de festas","Imagem Interna"
"8.LIN_MIL Terraco salao de festas + salao de festas","Imagem Externa"
"9.LIN_MIL Playground","Imagem Externa"
"10.LIN_MIL Brinquedoteca","Imagem Interna"
"11.LIN_MIL Academia","Imagem Interna"
"12.LIN_MIL Salao de jogos","Imagem Interna"
"13.LIN_MIL Espaco Gourmet","Imagem Interna"
"14.LIN_MIL Jardim 03 - terraco gourmet + terraco salao jogos","Imagem Externa"
"15.LIN_MIL Gourmet Rooftop","Imagem Interna"
"16.LIN_MIL Jogos Adulto Rooftop","Imagem Interna"
"17.LIN_MIL Piscina","Imagem Externa"
"18.LIN_MIL Aerea da piscina + terraco da piscina","Imagem Externa"
"19.LIN_MIL Estar – jantar apto tipo",Unidade
"20.LIN_MIL Suite master apto tipo",Unidade
"21.LIN_MIL Planta humanizada do pavimento terreo","Planta Humanizada"
"22.LIN_MIL Planta Humanizada do pavimento lazer","Planta Humanizada"
"23.LIN_MIL Planta Humanizada do pavimento tipo","Planta Humanizada"
"24.LIN_MIL Planta Humanizada Rooftop","Planta Humanizada"
"7.LIN_SUR Hall de entrada","Imagem Interna"
"8.LIN_SUR Piscina","Imagem Externa"
"9.LIN_SUR Aerea mostrando toda a area de lazer","Imagem Externa"
"10.LIN_SUR Salao de festas","Imagem Interna"
"11.LIN_SUR Jogos","Imagem Interna"
"12.LIN_SUR Cartas","Imagem Interna"
"13.LIN_SUR Playground","Imagem Externa"
"14.LIN_SUR Brinquedoteca","Imagem interna"
"15.LIN_SUR Academia","Imagem Interna"
"16.LIN_SUR Living apto tipo",Unidade
"17.LIN_SUR Suite 1 apto tipo",Unidade
"18.LIN_SUR Planta humanizada do pavimento terreo","Planta Humanizada"
"19.LIN_SUR Planta Humanizada do pavimento lazer","Planta Humanizada"
"20.LIN_SUR Planta Humanizada do pavimento tipo diferenciado","Planta Humanizada"
"21.LIN_SUR Planta Humanizada do pavimento tipo","Planta Humanizada"
"22.LIN_SUR Planta Humanizada do pavimento duplex superior","Planta Humanizada"
"23.LIN_SUR Planta Humanizada do pavimento duplex inferior","Planta Humanizada"
"7.HSA_236 Academia","Imagem Interna"
"1.AYA_KAR Fotomontagem aerea com insercao do empreendimento no terreno - angulo 1 visto sentido mar",Fachada
"2.AYA_KAR Fotomontagem aerea com insercao do empreendimento no terreno - angulo 2 visto sentido morros ou lateral",Fachada
"3.AYA_KAR Fachada no angulo do observador frontal mostrando o acesso com guarita",Fachada
"4.AYA_KAR Rampa da garagem com rasgo e arvore",Fachada
"5.AYA_KAR Passeio entre piscina e apto","Imagem Externa"
"6.AYA_KAR Piscina maior","Imagem Externa"
"7.AYA_KAR Piscina infantil","Imagem Externa"
"8.AYA_KAR Sauna","Imagem Interna"
"9.AYA_KAR Piscina geral semi aerea mostrando todo lazer, teto verde, rasgo, etc","Imagem Externa"
"10.AYA_KAR Academia","Imagem Interna"
"11.AYA_KAR Sala Manaca - apto 302",Unidade
"12.AYA_KAR Suite master ultimo apartamento virado para a mata - apto 310",Unidade
"13.AYA_KAR Rooftop Piscina Manaca - apto 302",Unidade
"14.AYA_KAR Sala com escada Ipe - apto 306",Unidade
"15.AYA_KAR Sala sem escada Ipe - apto 206",Unidade
"16.AYA_KAR Suite Ipe - apto 306",Unidade
"17.AYA_KAR Rooftop Piscina Ipe - apto 306",Unidade
"18.AYA_KAR Planta humanizada do pavimento subsolo Garagens","Planta Humanizada"
"19.AYA_KAR Planta humanizada implantacao geral","Planta Humanizada"
"20.AYA_KAR Planta humanizada do segundo pavimento Tipo 02","Planta Humanizada"
"21.AYA_KAR Planta humanizada do terceiro pavimento tipo 02","Planta Humanizada"
"22.AYA_KAR Planta humanizada do quarto pavimento","Planta Humanizada"
"23.AYA_KAR Hall de entrada do empreendimento Foyer","Imagem Interna"
"24.AYA_KAR Playground com teto verde","Imagem Externa"
"25.AYA_KAR Caminho da entrada coberto na frente dos gourmets visualizando o caminho entre piscinas e aptos com paisagismo","Imagem Interna"
"26.AYA_KAR Planta Humanizada Lazer","Planta Humanizada"
"27.AYA_KAR Embasamento com foco no acesso mostrando acesso pedestres banhistas e carro, guarita",Fachada
"28.AYA_KAR Brinquedoteca","Imagem Interna"
"29.AYA_KAR Gourmet 1","Imagem Interna"
"30.AYA_KAR Gourmet 2","Imagem Interna"
"1.TER_ARG Fotomontagem aerea mostrando os arredores",Fachada
"2.TER_ARG Fotomontagem Aerea mostrando Rio Tijucas para dentro do loteamento",Fachada
"3.TER_ARG Planta geral mostrando o condominio","Planta Humanizada"
"1. SDS_LIT Embasamento mostrando o acesso SC-410",Fachada
"2. SDS_LIT Embasamento frente mar mostrando praia, gramado e torre",Fachada
"3. SDS_LIT Fotomontagem aerea com insercao da torre em terreno real - angulo 1",Fachada
"4. SDS_LIT Fotomontagem aerea com insercao da torre em terreno real - angulo 2",Fachada
"5. SDS_LIT Boulevard - caminho entre torres","Imagem Externa"
"6. SDS_LIT Hall de entrada (torre a definir)","Imagem Interna"
"7. SDS_LIT Salao de festas","Imagem Interna"
"8. SDS_LIT Sala de Jogos com PUB","Imagem Interna"
"9. SDS_LIT Espaco Churrasco com piscina","Imagem Interna"
"10. SDS_LIT Academia","Imagem Interna"
"11. SDS_LIT Espaco Gourmet","Imagem Interna"
"12. SDS_LIT Espaco descanso com Piscina termica","Imagem Interna"
"13. SDS_LIT Piscinas angulo 1 - Area geral","Imagem Externa"
"14. SDS_LIT Piscinas angulo 2 - Foco na vista fotografica para o mar","Imagem Externa"
"15. SDS_LIT Apartamento tipo frente mar 1 - Torres A/B - Living",Unidade
"16. SDS_LIT Apartamento tipo frente mar 1 - Torres A/B - Sacada com vista fotografica para o mar",Unidade
"17. SDS_LIT Apartamento tipo frente mar 1 - Torres A/B - Suite com vista fotografica para o mar",Unidade
"18. SDS_LIT Apartamento cobertura frente mar - Living com vista fotografica para o mar",Unidade
"19. SDS_LIT Apartamento cobertura frente mar - Terraco com vista fotografica para o mar",Unidade
"20. SDS_LIT Apartamento cobertura frente mar - Suite com vista fotografica para o mar",Unidade
"21. SDS_LIT Planta humanizada implantacao geral mostrando o Pavimento terreo / Lazer","Planta Humanizada"
"22. SDS_LIT Planta humanizada do pavimento Diferenciado - Torre A/B - x6 aptos","Planta Humanizada"
"23. SDS_LIT Planta humanizada do apartamento Diferenciado da Torre A/B - 1","Planta Humanizada"
"24. SDS_LIT Planta humanizada do apartamento Diferenciado da Torre A/B - 2","Planta Humanizada"
"25. SDS_LIT Planta humanizada do apartamento Diferenciado da Torre A/B - 3","Planta Humanizada"
"26. SDS_LIT Planta humanizada do apartamento Diferenciado da Torre A/B - 4","Planta Humanizada"
"27. SDS_LIT Planta humanizada do apartamento Diferenciado da Torre A/B - 5","Planta Humanizada"
"28. SDS_LIT Planta humanizada do apartamento Diferenciado da Torre A/B - 6","Planta Humanizada"
"29. SDS_LIT Planta humanizada do pavimento Diferenciado - Torre C/D - x4 aptos","Planta Humanizada"
"30. SDS_LIT Planta humanizada do apartamento Diferenciado da Torre C/D - 1","Planta Humanizada"
"31. SDS_LIT Planta humanizada do apartamento Diferenciado da Torre C/D - 2","Planta Humanizada"
"32. SDS_LIT Planta humanizada do apartamento Diferenciado da Torre C/D - 3","Planta Humanizada"
"33. SDS_LIT Planta humanizada do apartamento Diferenciado da Torre C/D - 4","Planta Humanizada"
"34. SDS_LIT Planta humanizada do pavimento Tipo - Torre A/B - x6 aptos","Planta Humanizada"
"35. SDS_LIT Planta humanizada do apartamento Tipo da Torre A/B - 1","Planta Humanizada"
"36. SDS_LIT Planta humanizada do apartamento Tipo da Torre A/B - 2","Planta Humanizada"
"37. SDS_LIT Planta humanizada do apartamento Tipo da Torre A/B - 3","Planta Humanizada"
"38. SDS_LIT Planta humanizada do pavimento Tipo - Torre C/D - x4 aptos","Planta Humanizada"
"39. SDS_LIT Planta humanizada do apartamento Tipo da Torre C/D - 1","Planta Humanizada"
"40. SDS_LIT Planta humanizada do pavimento Cobertura - Torre A/B - x2 aptos","Planta Humanizada"
"41. SDS_LIT Planta humanizada do apartamento Cobertura da Torre A/B - 1","Planta Humanizada"
"42. SDS_LIT Planta humanizada do apartamento Cobertura da Torre A/B - 2","Planta Humanizada"
"43. SDS_LIT Planta humanizada do pavimento Cobertura - Torre C/D - x4 aptos","Planta Humanizada"
"44. SDS_LIT Planta humanizada do apartamento Cobertura da Torre C/D - 1","Planta Humanizada"
"45. SDS_LIT Planta humanizada do apartamento Cobertura da Torre C/D - 2","Planta Humanizada"
"46. SDS_LIT Planta humanizada do apartamento Cobertura da Torre C/D - 3","Planta Humanizada"
"47. SDS_LIT Planta humanizada do apartamento Cobertura da Torre C/D - 4","Planta Humanizada"
"10.AYA_CAS Home Office com vista mata","Imagem Interna"
"1.IDE_LAU Fotomontagem aerea com insercao do empreendimento no terreno",Fachada
"2.IDE_LAU Fachada fim de tarde no angulo do observador",Fachada
"3.IDE_LAU Embasamento com foto no acesso",Fachada
"4.IDE_LAU Salao de festas","Imagem Interna"
"5.IDE_LAU Piscina","Imagem Externa"
"6.IDE_LAU Academia","Imagem Interna"
"7.IDE_LAU Living do apartmento tipo 03 a definir angulo 1",Unidade
"8.IDE_LAU Living do apartmento tipo 03 a definir angulo 2 com foco na vista real",Unidade
"9.IDE_LAU Suite do apartamento tipo 03 a definir",Unidade
"10.IDE_LAU Living do apartmento cobertura a definir angulo 1",Unidade
"11.IDE_LAU Varanda do apartamento cobertura a definir angulo 1 com foco na vista real",Unidade
"12.IDE_LAU Suite do apartamento cobertura a definir",Unidade
"13.IDE_LAU Planta humanizada do pavimento lazer","Planta Humanizada"
"14.IDE_LAU Planta humanizada do apartamento tipo 1 - Garden","Planta Humanizada"
"15.IDE_LAU Planta humanizada do apartamento tipo 2","Planta Humanizada"
"16.IDE_LAU Planta humanizada do apartamento tipo 3 - Variacao de sacadas com floreiras","Planta Humanizada"
"17.IDE_LAU Planta humanizada do apartamento tipo 4","Planta Humanizada"
"18.IDE_LAU Planta humanizada do apartamento Cobertura duplex inferior","Planta Humanizada"
"19.IDE_LAU Planta humanizada do apartamento Cobertura duplex superior","Planta Humanizada"
"34.DOM_MOR Voo do Passaro Extra",Fachada
"36.CAP_TIV Salao de festa angulo extra","Imagem Interna"
"29.DAN_UPP Planta Lazer da torre A","Planta Humanizada"
"30.DAN_UPP Planta Lazer da torre C","Planta Humanizada"
"30.FG_TRI Fachada com corte mostrando o estaqueamento",Fachada
"5.ARS_ACC Fachada Embasamento 2",Fachada
"37.CAP_TIV Brinquedoteca extra","Imagem Interna"
"31.AYA_KAR Sala Ultimo apartamento com vista pra mata App com muxarabi - apto 310",Unidade
"13.STR_SPA Passeio mostrando bar e estar externo ","Imagem Externa"
"19.STR_SPA Quadras internas angulo 4 - Quadra padel","Imagem Interna"
"41.HSA_MON Fotomontagem aerea com insercao do empreendimento em terreno real angulo 2",Fachada
"42.HSA_MON Fotomontagem aerea com insercao do empreendimento em terreno real angulo 3",Fachada
"10.PRA_DUB Cena do Apartamento - Tipo 1 Vista",Unidade
"1.GES_ELI Fachada Embasamento",Fachada
"2.GES_ELI Hall de entrada","Imagem Interna"
"3.GES_ELI Piscina","Imagem Externa"
"4.GES_ELI Living Penthouse com vista mar",Unidade
"38.CAP_TIV Embasamento extra",Fachada
"32.AYA_KAR Rooftop com vista para mata - Apto 310",Unidade
"1.HAA_HOR Fotomontagem com empreendimento no terreno real angulo 1",Fachada
"2.HAA_HOR Fotomontagem com empreendimento no terreno real angulo 2",Fachada
"3.HAA_HOR Fotomontagem com empreendimento no terreno real angulo 3",Fachada
"4.HAA_HOR Fachada diurna no angulo do observador de baixo para cima",Fachada
"5.HAA_HOR Embasamento",Fachada
"6.HAA_HOR Beach point com vista fotografica real","Imagem Interna"
"7.HAA_HOR Piscinas com vista fotografica real - angulo 1","Imagem Externa"
"8.HAA_HOR Piscinas com vista fotografica real - angulo 2","Imagem Externa"
"9.HAA_HOR Piscina aquecida com vista fotografica real","Imagem Interna"
